"Date","Price","Open","High","Low","Vol","Change"
"04/22/2025","118,433.69","118,545.64","119,217.19","118,161.68","353.60M","0.04%"
"04/21/2025","118,383.38","117,712.70","118,827.47","117,712.70","367.34M","0.91%"
"04/18/2025","117,315.59","117,360.60","117,888.13","116,759.07","212.79M","0.35%"
"04/17/2025","116,901.13","116,073.70","117,216.03","115,818.07","221.69M","0.76%"
"04/16/2025","116,020.11","117,187.51","117,424.04","115,776.12","248.07M","-0.65%"
"04/15/2025","116,775.50","116,739.03","117,362.23","116,645.69","215.17M","0.33%"
"04/14/2025","116,390.04","115,448.73","116,494.20","115,246.21","273.77M","1.34%"
"04/11/2025","114,853.33","115,937.38","115,937.38","114,639.92","250.71M","-1.15%"
"04/10/2025","116,189.21","117,094.15","117,484.17","116,130.90","391.05M","1.78%"
"04/09/2025","114,153.16","115,092.12","115,092.12","112,891.49","267.60M","-1.19%"
"04/08/2025","115,532.43","115,800.77","116,692.29","115,560.91","338.91M","0.54%"
"04/07/2025","114,909.49","117,601.62","117,601.62","110,103.98","389.42M","-3.27%"
"04/04/2025","118,791.66","119,155.22","120,796.67","118,718.26","313.41M","-0.12%"
"04/03/2025","118,938.11","117,873.59","119,179.46","117,508.07","201.03M","0.96%"
"03/27/2025","117,806.75","118,037.70","118,147.25","117,551.42","193.47M","0.03%"
"03/26/2025","117,772.31","117,935.80","118,220.88","117,178.23","231.39M","0.98%"
"03/25/2025","116,633.17","116,375.71","116,904.55","115,877.88","158.06M","0.17%"
"03/24/2025","116,439.62","118,797.70","118,797.70","116,257.52","167.11M","-1.69%"
"03/21/2025","118,442.18","119,078.91","119,405.92","118,334.40","172.21M","-0.28%"
"03/20/2025","118,769.77","118,525.01","119,421.81","118,444.04","401.60M","0.67%"
"03/19/2025","117,974.03","117,198.36","118,243.63","116,882.80","301.11M","0.83%"
"03/18/2025","117,001.09","116,657.45","117,202.10","116,490.82","274.47M","0.69%"
"03/17/2025","116,199.59","116,012.73","116,626.83","115,883.22","286.47M","0.57%"
"03/14/2025","115,536.17","115,705.29","115,730.98","115,162.69","205.48M","0.38%"
"03/13/2025","115,094.24","114,429.93","115,247.40","114,429.93","210.93M","0.89%"
"03/12/2025","114,084.54","114,503.40","114,661.89","114,001.50","128.44M","-0.08%"
"03/11/2025","114,177.66","114,180.10","114,486.20","113,610.31","171.98M","-0.16%"
"03/10/2025","114,356.34","114,432.80","115,048.42","114,152.31","165.91M","-0.04%"
"03/07/2025","114,398.70","114,169.20","114,721.58","114,169.20","233.23M","0.60%"
"03/06/2025","113,713.18","112,506.52","113,871.22","112,446.01","240.89M","1.30%"
"03/05/2025","112,253.76","112,952.94","113,327.12","112,146.10","152.19M","-0.43%"
"03/04/2025","112,743.80","112,106.68","112,877.02","111,717.17","101.17M","0.68%"
"03/03/2025","111,986.89","113,498.58","113,591.83","111,829.15","108.00M","-1.12%"
"02/28/2025","113,251.67","113,890.68","114,265.97","113,201.84","231.45M","-0.47%"
"02/27/2025","113,784.31","114,045.13","114,456.92","113,729.53","207.29M","-0.07%"
"02/26/2025","113,862.33","114,580.40","114,762.93","113,849.93","333.21M","-0.58%"
"02/25/2025","114,528.09","114,900.47","115,889.60","114,178.56","290.83M","0.17%"
"02/24/2025","114,330.10","112,700.10","114,573.68","111,857.34","214.10M","1.36%"
"02/21/2025","112,800.93","114,441.59","114,444.01","112,813.87","216.95M","-0.82%"
"02/20/2025","113,739.16","113,601.96","114,202.14","113,525.90","507.75M","0.35%"
"02/19/2025","113,342.44","113,465.70","114,029.76","113,060.26","461.11M","0.22%"
"02/18/2025","113,088.48","112,023.31","113,252.55","111,642.02","348.50M","1.20%"
"02/17/2025","111,743.53","112,283.82","112,524.81","111,513.67","295.85M","-0.30%"
"02/14/2025","112,085.30","113,070.07","113,482.13","111,861.56","238.58M","-0.43%"
"02/13/2025","112,564.08","113,023.24","113,477.71","112,540.12","289.29M","-0.32%"
"02/12/2025","112,924.94","113,302.68","113,436.72","112,621.14","399.90M","-0.08%"
"02/11/2025","113,010.38","111,834.21","113,233.41","111,834.21","244.30M","1.47%"
"02/10/2025","111,377.97","110,610.81","111,622.72","109,948.57","193.05M","0.96%"
"02/07/2025","110,322.94","110,575.28","110,905.09","109,686.53","129.19M","0.02%"
"02/06/2025","110,301.16","112,053.96","112,234.15","109,405.54","174.30M","-1.46%"
"02/04/2025","111,935.38","113,091.72","113,649.08","111,828.11","170.65M","-0.72%"
"02/03/2025","112,745.01","114,550.59","114,620.79","112,681.34","165.87M","-1.32%"
"01/31/2025","114,255.73","113,745.99","115,106.99","113,692.87","250.68M","0.93%"
"01/30/2025","113,206.40","111,805.66","113,400.57","111,805.66","172.24M","1.54%"
"01/29/2025","111,487.36","112,274.42","112,569.90","111,157.19","201.92M","-0.48%"
"01/28/2025","112,030.36","113,398.28","113,644.72","111,434.95","211.43M","-1.31%"
"01/27/2025","113,520.32","115,075.86","115,596.87","113,482.23","231.20M","-1.18%"
"01/24/2025","114,880.49","114,407.66","115,779.06","114,383.17","280.36M","0.74%"
"01/23/2025","114,037.79","113,580.21","114,319.62","113,234.31","374.09M","0.52%"
"01/22/2025","113,443.43","114,996.26","115,256.16","113,359.38","358.35M","-1.39%"
"01/21/2025","115,042.25","116,320.30","116,424.85","114,783.72","338.09M","-0.69%"
"01/20/2025","115,844.82","115,868.94","116,276.42","115,668.08","268.34M","0.50%"
"01/17/2025","115,272.08","114,060.38","115,356.12","113,571.96","212.26M","1.26%"
"01/16/2025","113,836.74","114,800.98","114,884.63","113,630.45","176.92M","-0.58%"
"01/15/2025","114,495.71","115,360.64","115,773.39","114,298.29","263.60M","-0.27%"
"01/14/2025","114,804.17","114,541.46","115,044.79","113,836.61","258.82M","0.50%"
"01/13/2025","114,230.06","113,715.50","114,496.09","113,083.86","198.49M","0.87%"
"01/10/2025","113,247.29","112,544.62","113,554.07","112,013.59","216.22M","0.54%"
"01/09/2025","112,638.26","114,313.00","114,329.95","112,594.67","268.88M","-1.32%"
"01/08/2025","114,148.46","116,591.08","117,750.23","113,847.04","254.28M","-1.64%"
"01/07/2025","116,052.68","116,667.55","116,843.41","113,677.50","401.23M","-0.17%"
"01/06/2025","116,255.13","118,309.50","118,735.10","115,941.95","369.83M","-1.13%"
"01/03/2025","117,586.98","117,484.90","117,891.62","115,580.02","398.07M","0.40%"
"01/02/2025","117,119.66","117,150.31","118,367.81","116,857.61","383.72M","0.10%"
"01/01/2025","117,008.08","115,258.12","117,341.03","114,719.89","465.17M","1.63%"
"12/31/2024","115,126.90","116,700.02","116,700.02","114,804.81","580.52M","-0.11%"
"12/30/2024","115,259.00","111,916.71","115,422.34","111,916.71","521.36M","3.51%"
"12/27/2024","111,351.18","110,658.65","112,043.77","110,246.93","293.22M","0.84%"
"12/26/2024","110,423.32","112,480.60","112,480.60","109,858.88","274.82M","-1.77%"
"12/24/2024","112,414.81","114,987.83","115,036.50","112,294.42","352.68M","-1.33%"
"12/23/2024","113,924.42","110,990.57","114,189.72","110,891.36","424.81M","4.03%"
"12/20/2024","109,513.15","106,073.21","109,846.64","105,601.04","321.98M","3.05%"
"12/19/2024","106,274.98","110,140.75","111,745.03","105,937.37","531.31M","-4.32%"
"12/18/2024","111,070.29","114,854.05","116,236.71","110,896.27","507.24M","-3.30%"
